ஊஷ்L	N_NN	B-NP	URL,unk,,,,,,	o
:	RD_PUNC	I-NP	:,punc,,,,,,	o
ஹ்ட்ட்ப்	N_NN	B-NP	http,N,,,,,	o
:	RD_PUNC	I-NP	:,punc,,,,,,	o
/	RD_PUNC	B-NP	/,punc,,,,,,	o
/	RD_PUNC	I-NP	/,punc,,,,,,	o
டமில்	N_NN	B-NP	tamil,unk,,,,,,	o
.	RD_PUNC	I-NP	&dot;,punc,,,,,,	o

ஓநேஇந்dஇஅ	N_NN	B-NP	oneindia,unk,,,,,,	o
.	RD_PUNC	I-NP	&dot;,punc,,,,,,	o

சோம்	N_NN	B-NP	com,N,,,,,	o
/	RD_PUNC	I-NP	/,punc,,,,,,	o
நேத்ஸ்	N_NN	B-NP	news,unk,,,,,,	o
/	RD_PUNC	I-NP	/,punc,,,,,,	o
டமில்நdஉ	N_NN	I-NP	tamilnadu,unk,,,,,,	o
/	RD_PUNC	I-NP	/,punc,,,,,,	o
79-	QT_QTC	I-NP	79-,num,,,,,,	o
பேஓப்லே	N_NN	I-NP	people,unk,,,,,,	o
-ஸுப்போர்ட்-ஓப்ஸ்-ம்லஸ்-ட்ஹந்ட்ஹி-ட்வ்	N_NNP	B-NP	-support-ops-mlas-thanthi-tv,unk,,,,,,	o
-	RD_SYM	I-NP	-,punc,,,,,,	o
ஸுர்வேய்-278315	N_NNP	B-NP	survey-278315,unk,,,,,,	o
.	RD_PUNC	I-NP	&dot;,punc,,,,,,	o

ஹ்ட்ம்ல்	N_NNP	B-NP	html,N,,,,,	{RP}
சசிகலாவை	N_NNP	I-NP	cacikalA,N,E-ACC,,,f,	o
தொகுதி	N_NN	B-NP	woVkuwi,N,,,,,	o
எம்.எல்.ஏக்கள்	N_NN	B-NP	eVm.eVl.e,N,,pl,,,	o
ஆதரித்ததற்கு	V_VM_VNF_RP_PRP	B-VGNF	Awari,V,PAST,,,,RP-PRP	{/RP}
82	QT_QTC	B-NP	82,num,,,,,,	{COM}
%	RD_PUNC	I-NP	%,punc,,,,,,	o
பேர்	N_NN	I-NP	per,N,,,,,	o
எதிர்ப்பு	N_NN	I-NP	eVwirppu,N,,,,,	o
-	RD_SYM	I-NP	-,punc,,,,,,	o
தந்தி	N_NN	I-NP	wanwi,N,,,,,	o
டிவி	N_NNP	B-NP	tivi,N,,,,,	o
கருத்து	N_NN	I-NP	karuwwu,N,,pl,,,	o
கணிப்பு	N_NN	I-NP	kaNippu,N,,,,,	o
சென்னை	N_NNP	B-NP	ceVnYnYE,N,,,,,	o
:	RD_PUNC	I-NP	:,punc,,,,,,	o
இக்கட்டான	JJ	B-NP	ikkattu,N,AnYa-ADJ,,,,	o
அரசியல்	N_NN	I-NP	araciyal,N,,,,,	o
சூழலில்	N_NN	I-NP	cUlYYal,N,il-LOC,,,,	o
தினகரன்	N_NNP	B-NP	winYakaranY,N,,,,m,	o
ஆதரவு	N_NN	I-NP	Awaravu,N,,,,,	o
