ஊஷ்L	N_NN	B-NP	URL,unk,,,,,,	o
ஐ0	QT_QTC	B-NP	E,N,,,,,	o
%	RD_PUNC	I-NP	%,punc,,,,,,	o
ஆஐ	N_NN	B-NP	AE,unk,,,,,,	o
%	RD_PUNC	I-NP	%,punc,,,,,,	o
ஆஆ	RP_INJ	B-NP	AA,unk,,,,,,	o
%	RD_PUNC	I-NP	%,punc,,,,,,	o
ஐ0	QT_QTC	B-NP	E,N,,,,,	o
%	RD_PUNC	I-NP	%,punc,,,,,,	o
ஆஐ	N_NN	B-NP	AE,unk,,,,,,	o
%	RD_PUNC	I-NP	%,punc,,,,,,	o
Bஞ்	QT_QTC	B-NP	BF,unk,,,,,,	o
%	RD_PUNC	I-NP	%,punc,,,,,,	o
ஐ0	QT_QTC	B-NP	E,N,,,,,	o
%	RD_PUNC	I-NP	%,punc,,,,,,	o
ஆஐ	N_NN	B-NP	AE,unk,,,,,,	o
%	RD_PUNC	I-NP	%,punc,,,,,,	o
B0	QT_QTC	B-NP	B0,unk,,,,,,	o
%	RD_PUNC	I-NP	%,punc,,,,,,	o
ஐ0	QT_QTC	B-NP	E,N,,,,,	o
%	RD_PUNC	I-NP	%,punc,,,,,,	o
ஆஐ	N_NN	B-NP	AE,unk,,,,,,	o
%	RD_PUNC	I-NP	%,punc,,,,,,	o
9	QT_QTC	B-NP	9,num,,,,,,	o
ஆ	RP_INJ	I-NP	A,N,,,,,	o
%	RD_PUNC	I-NP	%,punc,,,,,,	o
ஐ0	QT_QTC	B-NP	E,N,,,,,	o
%	RD_PUNC	I-NP	%,punc,,,,,,	o
ஆஞ்	RP_INJ	B-NP	AF,unk,,,,,,	o
%	RD_PUNC	I-NP	%,punc,,,,,,	o
8D	QT_QTC	B-NP	8D,unk,,,,,,	o
%	RD_PUNC	I-NP	%,punc,,,,,,	o
ஐ0	QT_QTC	B-NP	E,N,,,,,	o
%	RD_PUNC	I-NP	%,punc,,,,,,	o
ஆஐ	N_NN	B-NP	AE,unk,,,,,,	o
%	RD_PUNC	I-NP	%,punc,,,,,,	o
9	QT_QTC	B-NP	9,num,,,,,,	o
ஆ	RP_INJ	I-NP	A,N,,,,,	o
%	RD_PUNC	I-NP	%,punc,,,,,,	o
ஐ0	QT_QTC	B-NP	E,N,,,,,	o
%	RD_PUNC	I-NP	%,punc,,,,,,	o
ஆஐ	N_NN	B-NP	AE,unk,,,,,,	o
%	RD_PUNC	I-NP	%,punc,,,,,,	o
Bஞ்	QT_QTC	B-NP	BF,unk,,,,,,	o
%	RD_PUNC	I-NP	%,punc,,,,,,	o
ஐ0	QT_QTC	B-NP	E,N,,,,,	o
%	RD_PUNC	I-NP	%,punc,,,,,,	o
ஆஐ	N_NN	B-NP	AE,unk,,,,,,	o
%	RD_PUNC	I-NP	%,punc,,,,,,	o
ஆ9	QT_QTC	B-NP	A9,unk,,,,,,	o
%	RD_PUNC	I-NP	%,punc,,,,,,	o
ஐ0	QT_QTC	B-NP	E,N,,,,,	o
%	RD_PUNC	I-NP	%,punc,,,,,,	o
ஆஞ்	RP_INJ	B-NP	AF,unk,,,,,,	o
%	RD_PUNC	I-NP	%,punc,,,,,,	o
88	QT_QTC	B-NP	88,num,,,,,,	o
%	RD_PUNC	I-NP	%,punc,,,,,,	o
ஐ0	QT_QTC	B-NP	E,N,,,,,	o
%	RD_PUNC	I-NP	%,punc,,,,,,	o
ஆஐ	N_NN	B-NP	AE,unk,,,,,,	o
%	RD_PUNC	I-NP	%,punc,,,,,,	o
95	QT_QTC	B-NP	95,num,,,,,,	o
%	RD_PUNC	I-NP	%,punc,,,,,,	o
ஐ0	QT_QTC	B-NP	E,N,,,,,	o
%	RD_PUNC	I-NP	%,punc,,,,,,	o
ஆஐ	N_NN	B-NP	AE,unk,,,,,,	o
%	RD_PUNC	I-NP	%,punc,,,,,,	o
B3	QT_QTC	B-NP	B3,unk,,,,,,	o
%	RD_PUNC	I-NP	%,punc,,,,,,	o
ஐ0	QT_QTC	B-NP	E,N,,,,,	o
%	RD_PUNC	I-NP	%,punc,,,,,,	o
ஆஞ்	RP_INJ	B-NP	AF,unk,,,,,,	o
%	RD_PUNC	I-NP	%,punc,,,,,,	o
81	QT_QTC	B-NP	81,num,,,,,,	o
%	RD_PUNC	I-NP	%,punc,,,,,,	o
ஐ0	QT_QTC	B-NP	E,N,,,,,	o
%	RD_PUNC	I-NP	%,punc,,,,,,	o
ஆஐ	N_NN	B-NP	AE,unk,,,,,,	o
%	RD_PUNC	I-NP	%,punc,,,,,,	o
95	QT_QTC	B-NP	95,num,,,,,,	o
%	RD_PUNC	I-NP	%,punc,,,,,,	o
ஐ0	QT_QTC	B-NP	E,N,,,,,	o
%	RD_PUNC	I-NP	%,punc,,,,,,	o
ஆஞ்	RP_INJ	B-NP	AF,unk,,,,,,	o
%	RD_PUNC	I-NP	%,punc,,,,,,	o
8D	QT_QTC	B-NP	8D,unk,,,,,,	o
%	RD_PUNC	I-NP	%,punc,,,,,,	o
ஐ0	QT_QTC	B-NP	E,N,,,,,	o
%	RD_PUNC	I-NP	%,punc,,,,,,	o
ஆஐ	N_NN	B-NP	AE,unk,,,,,,	o
%	RD_PUNC	I-NP	%,punc,,,,,,	o
95	QT_QTC	B-NP	95,num,,,,,,	o
%	RD_PUNC	I-NP	%,punc,,,,,,	o
ஐ0	QT_QTC	B-NP	E,N,,,,,	o
%	RD_PUNC	I-NP	%,punc,,,,,,	o
ஆஞ்	RP_INJ	B-NP	AF,unk,,,,,,	o
%	RD_PUNC	I-NP	%,punc,,,,,,	o
81-	QT_QTC	B-NP	81-,num,,,,,,	o
%	RD_PUNC	I-NP	%,punc,,,,,,	o
ஐ0	QT_QTC	B-NP	E,N,,,,,	o
%	RD_PUNC	I-NP	%,punc,,,,,,	o
ஆஐ	N_NN	B-NP	AE,unk,,,,,,	o
%	RD_PUNC	I-NP	%,punc,,,,,,	o
9	QT_QTC	B-NP	9,num,,,,,,	o
ஆ	RP_INJ	I-NP	A,N,,,,,	o
%	RD_PUNC	I-NP	%,punc,,,,,,	o
ஐ0	QT_QTC	B-NP	E,N,,,,,	o
%	RD_PUNC	I-NP	%,punc,,,,,,	o
ஆஐ	N_NN	B-NP	AE,unk,,,,,,	o
%	RD_PUNC	I-NP	%,punc,,,,,,	o
9	QT_QTC	B-NP	9,num,,,,,,	o
ஆ	RP_INJ	I-NP	A,N,,,,,	o
%	RD_PUNC	I-NP	%,punc,,,,,,	o
ஐ0	QT_QTC	B-NP	E,N,,,,,	o
%	RD_PUNC	I-NP	%,punc,,,,,,	o
ஆஐ	N_NN	B-NP	AE,unk,,,,,,	o
%	RD_PUNC	I-NP	%,punc,,,,,,	o
Bஞ்	QT_QTC	B-NP	BF,unk,,,,,,	o
%	RD_PUNC	I-NP	%,punc,,,,,,	o
ஐ0	QT_QTC	B-NP	E,N,,,,,	o
%	RD_PUNC	I-NP	%,punc,,,,,,	o
ஆஐ	N_NN	B-NP	AE,unk,,,,,,	o
%	RD_PUNC	I-NP	%,punc,,,,,,	o
95	QT_QTC	B-NP	95,num,,,,,,	o
%	RD_PUNC	I-NP	%,punc,,,,,,	o
ஐ0	QT_QTC	B-NP	E,N,,,,,	o
%	RD_PUNC	I-NP	%,punc,,,,,,	o
ஆஐ	N_NN	B-NP	AE,unk,,,,,,	o
%	RD_PUNC	I-NP	%,punc,,,,,,	o
B2	QT_QTC	B-NP	B2,unk,,,,,,	o
%	RD_PUNC	I-NP	%,punc,,,,,,	o
ஐ0	QT_QTC	B-NP	E,N,,,,,	o
%	RD_PUNC	I-NP	%,punc,,,,,,	o
ஆஐ	N_NN	B-NP	AE,unk,,,,,,	o
%	RD_PUNC	I-NP	%,punc,,,,,,	o
Bஐ	N_NN	B-NP	BE,unk,,,,,,	o
%	RD_PUNC	I-NP	%,punc,,,,,,	o
ஐ0	QT_QTC	B-NP	E,N,,,,,	o
%	RD_PUNC	I-NP	%,punc,,,,,,	o
ஆஐ	N_NN	B-NP	AE,unk,,,,,,	o
%	RD_PUNC	I-NP	%,punc,,,,,,	o
B5	QT_QTC	B-NP	B5,unk,,,,,,	o
%	RD_PUNC	I-NP	%,punc,,,,,,	o
ஐ0	QT_QTC	B-NP	E,N,,,,,	o
%	RD_PUNC	I-NP	%,punc,,,,,,	o
ஆஐ	N_NN	B-NP	AE,unk,,,,,,	o
%	RD_PUNC	I-NP	%,punc,,,,,,	o
Bஞ்	QT_QTC	B-NP	BF,unk,,,,,,	o
%	RD_PUNC	I-NP	%,punc,,,,,,	o
ஐ0	QT_QTC	B-NP	E,N,,,,,	o
%	RD_PUNC	I-NP	%,punc,,,,,,	o
ஆஐ	N_NN	B-NP	AE,unk,,,,,,	o
%	RD_PUNC	I-NP	%,punc,,,,,,	o
ஆ9	QT_QTC	B-NP	A9,unk,,,,,,	o
%	RD_PUNC	I-NP	%,punc,,,,,,	o
ஐ0	QT_QTC	B-NP	E,N,,,,,	o
%	RD_PUNC	I-NP	%,punc,,,,,,	o
ஆஞ்	RP_INJ	B-NP	AF,unk,,,,,,	o
%	RD_PUNC	I-NP	%,punc,,,,,,	o
8D	QT_QTC	I-NP	8D,unk,,,,,,	o
-	RD_SYM	I-NP	-,punc,,,,,,	o
%	RD_PUNC	I-NP	%,punc,,,,,,	o
ஐ0	QT_QTC	B-NP	E,N,,,,,	o
%	RD_PUNC	I-NP	%,punc,,,,,,	o
ஆஐ	N_NN	B-NP	AE,unk,,,,,,	o
%	RD_PUNC	I-NP	%,punc,,,,,,	o
ஆஐ	N_NN	B-NP	AE,unk,,,,,,	o
%	RD_PUNC	I-NP	%,punc,,,,,,	o
ஐ0	QT_QTC	B-NP	E,N,,,,,	o
%	RD_PUNC	I-NP	%,punc,,,,,,	o
ஆஞ்	RP_INJ	B-NP	AF,unk,,,,,,	o
%	RD_PUNC	I-NP	%,punc,,,,,,	o
81	QT_QTC	B-NP	81,num,,,,,,	o
%	RD_PUNC	I-NP	%,punc,,,,,,	o
ஐ0	QT_QTC	B-NP	E,N,,,,,	o
%	RD_PUNC	I-NP	%,punc,,,,,,	o
ஆஐ	N_NN	B-NP	AE,unk,,,,,,	o
%	RD_PUNC	I-NP	%,punc,,,,,,	o
ஆ4	QT_QTC	B-NP	A4,unk,,,,,,	o
%	RD_PUNC	I-NP	%,punc,,,,,,	o
ஐ0	QT_QTC	B-NP	E,N,,,,,	o
%	RD_PUNC	I-NP	%,punc,,,,,,	o
ஆஐ	N_NN	B-NP	AE,unk,,,,,,	o
%	RD_PUNC	I-NP	%,punc,,,,,,	o
B2	QT_QTC	B-NP	B2,unk,,,,,,	o
%	RD_PUNC	I-NP	%,punc,,,,,,	o
ஐ0	QT_QTC	B-NP	E,N,,,,,	o
%	RD_PUNC	I-NP	%,punc,,,,,,	o
ஆஞ்	RP_INJ	B-NP	AF,unk,,,,,,	o
%	RD_PUNC	I-NP	%,punc,,,,,,	o
8D	QT_QTC	B-NP	8D,unk,,,,,,	o
%	RD_PUNC	I-NP	%,punc,,,,,,	o
ஐ0	QT_QTC	B-NP	E,N,,,,,	o
%	RD_PUNC	I-NP	%,punc,,,,,,	o
ஆஐ	N_NN	B-NP	AE,unk,,,,,,	o
%	RD_PUNC	I-NP	%,punc,,,,,,	o
B5	QT_QTC	B-NP	B5,unk,,,,,,	o
%	RD_PUNC	I-NP	%,punc,,,,,,	o
ஐ0	QT_QTC	B-NP	E,N,,,,,	o
%	RD_PUNC	I-NP	%,punc,,,,,,	o
ஆஐ	N_NN	B-NP	AE,unk,,,,,,	o
%	RD_PUNC	I-NP	%,punc,,,,,,	o
B0	QT_QTC	B-NP	B0,unk,,,,,,	o
%	RD_PUNC	I-NP	%,punc,,,,,,	o
ஐ0	QT_QTC	B-NP	E,N,,,,,	o
%	RD_PUNC	I-NP	%,punc,,,,,,	o
ஆஞ்	RP_INJ	B-NP	AF,unk,,,,,,	o
%	RD_PUNC	I-NP	%,punc,,,,,,	o
8D	QT_QTC	I-NP	8D,unk,,,,,,	o
-	RD_SYM	I-NP	-,punc,,,,,,	o
%	RD_PUNC	I-NP	%,punc,,,,,,	o
ஐ0	QT_QTC	B-NP	E,N,,,,,	o
%	RD_PUNC	I-NP	%,punc,,,,,,	o
ஆஐ	N_NN	B-NP	AE,unk,,,,,,	o
%	RD_PUNC	I-NP	%,punc,,,,,,	o
86	QT_QTC	B-NP	86,num,,,,,,	o
%	RD_PUNC	I-NP	%,punc,,,,,,	o
ஐ0	QT_QTC	B-NP	E,N,,,,,	o
%	RD_PUNC	I-NP	%,punc,,,,,,	o
ஆஐ	N_NN	B-NP	AE,unk,,,,,,	o
%	RD_PUNC	I-NP	%,punc,,,,,,	o
9	QT_QTC	B-NP	9,num,,,,,,	o
ஆ	RP_INJ	I-NP	A,N,,,,,	o
%	RD_PUNC	I-NP	%,punc,,,,,,	o
ஐ0	QT_QTC	B-NP	E,N,,,,,	o
%	RD_PUNC	I-NP	%,punc,,,,,,	o
ஆஞ்	RP_INJ	B-NP	AF,unk,,,,,,	o
%	RD_PUNC	I-NP	%,punc,,,,,,	o
88	QT_QTC	B-NP	88,num,,,,,,	o
%	RD_PUNC	I-NP	%,punc,,,,,,	o
ஐ0	QT_QTC	B-NP	E,N,,,,,	o
%	RD_PUNC	I-NP	%,punc,,,,,,	o
ஆஐ	N_NN	B-NP	AE,unk,,,,,,	o
%	RD_PUNC	I-NP	%,punc,,,,,,	o
ஆஞ்	RP_INJ	B-NP	AF,unk,,,,,,	o
%	RD_PUNC	I-NP	%,punc,,,,,,	o
ஐ0	QT_QTC	B-NP	E,N,,,,,	o
%	RD_PUNC	I-NP	%,punc,,,,,,	o
ஆஞ்	RP_INJ	B-NP	AF,unk,,,,,,	o
%	RD_PUNC	I-NP	%,punc,,,,,,	o
87-	QT_QTC	B-NP	87-,num,,,,,,	o
%	RD_PUNC	I-NP	%,punc,,,,,,	o
ஐ0	QT_QTC	B-NP	E,N,,,,,	o
%	RD_PUNC	I-NP	%,punc,,,,,,	o
ஆஐ	N_NN	B-NP	AE,unk,,,,,,	o
%	RD_PUNC	I-NP	%,punc,,,,,,	o
95	QT_QTC	B-NP	95,num,,,,,,	o
%	RD_PUNC	I-NP	%,punc,,,,,,	o
ஐ0	QT_QTC	B-NP	E,N,,,,,	o
%	RD_PUNC	I-NP	%,punc,,,,,,	o
ஆஐ	N_NN	B-NP	AE,unk,,,,,,	o
%	RD_PUNC	I-NP	%,punc,,,,,,	o
Bஐ	N_NN	B-NP	BE,unk,,,,,,	o
%	RD_PUNC	I-NP	%,punc,,,,,,	o
ஐ0	QT_QTC	B-NP	E,N,,,,,	o
%	RD_PUNC	I-NP	%,punc,,,,,,	o
ஆஐ	N_NN	B-NP	AE,unk,,,,,,	o
%	RD_PUNC	I-NP	%,punc,,,,,,	o
B0	QT_QTC	B-NP	B0,unk,,,,,,	o
%	RD_PUNC	I-NP	%,punc,,,,,,	o
ஐ0	QT_QTC	B-NP	E,N,,,,,	o
%	RD_PUNC	I-NP	%,punc,,,,,,	o
ஆஐ	N_NN	B-NP	AE,unk,,,,,,	o
%	RD_PUNC	I-NP	%,punc,,,,,,	o
ஆ3	QT_QTC	B-NP	A3,unk,,,,,,	o
%	RD_PUNC	I-NP	%,punc,,,,,,	o
ஐ0	QT_QTC	B-NP	E,N,,,,,	o
%	RD_PUNC	I-NP	%,punc,,,,,,	o
ஆஐ	N_NN	B-NP	AE,unk,,,,,,	o
%	RD_PUNC	I-NP	%,punc,,,,,,	o
ஆஐ	N_NN	B-NP	AE,unk,,,,,,	o
%	RD_PUNC	I-NP	%,punc,,,,,,	o
ஐ0	QT_QTC	B-NP	E,N,,,,,	o
%	RD_PUNC	I-NP	%,punc,,,,,,	o
ஆஞ்	RP_INJ	B-NP	AF,unk,,,,,,	o
%	RD_PUNC	I-NP	%,punc,,,,,,	o
8D	QT_QTC	I-NP	8D,unk,,,,,,	o
-	RD_SYM	I-NP	-,punc,,,,,,	o
%	RD_PUNC	I-NP	%,punc,,,,,,	o
ஐ0	QT_QTC	B-NP	E,N,,,,,	o
%	RD_PUNC	I-NP	%,punc,,,,,,	o
ஆஐ	N_NN	B-NP	AE,unk,,,,,,	o
%	RD_PUNC	I-NP	%,punc,,,,,,	o
93	QT_QTC	B-NP	93,num,,,,,,	o
%	RD_PUNC	I-NP	%,punc,,,,,,	o
ஐ0	QT_QTC	B-NP	E,N,,,,,	o
%	RD_PUNC	I-NP	%,punc,,,,,,	o
ஆஐ	N_NN	B-NP	AE,unk,,,,,,	o
%	RD_PUNC	I-NP	%,punc,,,,,,	o
ஆஆ	RP_INJ	B-NP	AA,unk,,,,,,	o
%	RD_PUNC	I-NP	%,punc,,,,,,	o
ஐ0	QT_QTC	B-NP	E,N,,,,,	o
%	RD_PUNC	I-NP	%,punc,,,,,,	o
ஆஐ	N_NN	B-NP	AE,unk,,,,,,	o
%	RD_PUNC	I-NP	%,punc,,,,,,	o
Bஞ்	QT_QTC	B-NP	BF,unk,,,,,,	o
%	RD_PUNC	I-NP	%,punc,,,,,,	o
ஐ0	QT_QTC	B-NP	E,N,,,,,	o
%	RD_PUNC	I-NP	%,punc,,,,,,	o
ஆஐ	N_NN	B-NP	AE,unk,,,,,,	o
%	RD_PUNC	I-NP	%,punc,,,,,,	o
8ஐ	QT_QTC	B-NP	8,num,E-acc,sg,,,	o
%	RD_PUNC	I-NP	%,punc,,,,,,	o
ஐ0	QT_QTC	B-NP	E,N,,,,,	o
%	RD_PUNC	I-NP	%,punc,,,,,,	o
ஆஐ	N_NN	B-NP	AE,unk,,,,,,	o
%	RD_PUNC	I-NP	%,punc,,,,,,	o
B8	QT_QTC	B-NP	B8,unk,,,,,,	o
%	RD_PUNC	I-NP	%,punc,,,,,,	o
ஐ0	QT_QTC	B-NP	E,N,,,,,	o
%	RD_PUNC	I-NP	%,punc,,,,,,	o
ஆஞ்	RP_INJ	B-NP	AF,unk,,,,,,	o
%	RD_PUNC	I-NP	%,punc,,,,,,	o
8D	QT_QTC	B-NP	8D,unk,,,,,,	o
/	RD_PUNC	I-NP	/,punc,,,,,,	o
அர்டிச்லே9605877	N_NN	I-NP	article9605877,unk,,,,,,	o
.	RD_PUNC	I-NP	&dot;,punc,,,,,,	o

ஏசே	PR_PRP	B-NP	ece,unk,,,,,,	{RP}
அதிமுக	N_NNP	B-NP	awimuka,N,,,,,	o
பிரச்சினைகளுக்கு	N_NN	I-NP	piraccinYE,N,ukku-DAT,pl,,,	o
சசிகலாவின்	N_NNP	B-NP	cacikalA,N,inY-GEN,,,f,	o
முதல்வர்	N_NN	I-NP	muwalvar,N,,,,,	o
ஆசையே	N_NN	B-NP	AcE,N,,,,,	o
காரணம்	N_NN	I-NP	kAraNam,N,,,,,	o
:	RD_PUNC	I-NP	:,punc,,,,,,	o
ஓபிஎஸ்	N_NN	B-NP	opieVs,unk,,,,,,	o
-	RD_SYM	I-NP	-,punc,,,,,,	o
தி	N_NNP	B-NP	wi,N,,,,,	o
இந்து	N_NNP	I-NP	inwu,N,,,,,	o
à®®à¯à®¤à®²à¯à®µà®°à¯	N_NNP	B-NP	à®®à¯à®¤à®²à¯à®µà®°à¯,unk,,,,,,	o
à®.à®ªà®©à¯à®©à¯à®°à¯	N_NNP	I-NP	à®.à®ªà®©à¯à®©à¯à®°à¯,unk,,,,,,	o
à®à¯à®²à¯à®µà®®à¯	N_NNP	I-NP	à®à¯à®²à¯à®µà®®à¯,unk,,,,,,	o
(	RD_SYM	B-NP	(,punc,,,,,,	o
அதிமுகவில்	N_NNP	I-NP	awimuka,N,il-LOC,,,,	o
நிலவும்	V_VM_VNF_RP	B-VGNF	nilavu,V,FUTURE,,,,RP	o
அனைத்து	N_NN	B-NP	anYEwwu,ADJ,,,,,	o
பிரச்சினைகளுக்கும்	N_NN	I-NP	piraccinYE,N,ukku-DAT,pl,,,	{/RP}
சசிகலாவின்	N_NNP	B-NP	cacikalA,N,inY-GEN,,,f,	{COM}
முதல்வர்	N_NN	I-NP	muwalvar,N,,,,,	o
ஆசையே	N_NN	B-NP	AcE,N,,,,,	o
காரணம்	N_NN	B-NP	kAraNam,N,,,,,	o
என	CC_CCS	B-CCP	eVnYa,ADV,,,,,	{/COM}
ஓ.பன்னீர்செல்வம்	N_NN	B-NP	o.panYnYIrceVlvam,N,,,,m,	{MCL}
தெரிவித்துள்ளார்	V_VM_VF	B-VGF	weVrivi,V,PRESENT,sg,3,c,	o
.	RD_PUNC	I-VGF	&dot;,punc,,,,,,	{/MCL}

இன்று	N_NN	B-NP	inYrYu,N,,,,,	{RP}
(	RD_SYM	B-NP	(,punc,,,,,,	o
புதன்கிழமை	N_NNP	I-NP	puwanYkilYYamE,N,,,,,	o
)	RD_SYM	I-NP	),punc,,,,,,	o
தனது	PR_PRF	B-NP	wanY,PN,awu-GEN,,,,	o
இல்லத்தில்	N_NN	I-NP	illam,N,il-LOC,,,,	o
செய்தியாளர்களைச்	N_NN	B-NP	ceVywiyAlYar,N,E-ACC,pl,,,	o
சந்தித்த	V_VM_VNF_RP	B-VGNF	canwi,V,PAST,,,,RP	o
ஓ.பன்னீர்செல்வம்	N_NN	B-NP	o.panYnYIrceVlvam,N,,,,m,	{MCL}
,	RD_PUNC	I-NP	&comma;,punc,,,,,	{/RP}
'	RD_SYM	B-NP	',punc,,,,,,	{RP}
'	RD_SYM	I-NP	',punc,,,,,,	o
முன்னாள்	JJ	I-NP	munYnYAlY,N,,,,,	o
முதல்வர்	N_NN	I-NP	muwalvar,N,,,,,	o
ஜெயலலிதா	N_NNP	B-NP	jeVyalaliwA,N,,,,f,	o
மறைந்தபோது	V_VM_VNF_RP_PSP	B-VGNF	marYE,V,PAST,,,,RP-PSP-PSP	{/RP}
தமிழக	N_NNP	B-NP	wamilYYaka,ADJ,,,,,	o
முதல்வராகும்	V_VM_VNF_RP	B-VGNF	muwalvar,N,,pl,,,	o
எண்ணம்	N_NN	B-NP	eVNNam,N,,,,,	o
எனக்கு	PR_PRP	B-NP	eVnY,PN,kku-DAT,,,,	o
இல்லை	RP_NEG	B-VGF	illE,V,,,,,	o
.	RD_PUNC	I-VGF	&dot;,punc,,,,,,	{/MCL}

ஆனால்	CC_CCD	B-CCP	AnYAl,CONJ,,,,,	{MCL}
மூத்த	JJ	B-NP	mUwwa,ADJ,,,,,	o
அமைச்சர்கள்	N_NN	I-NP	amEccar,N,,pl,,,	o
என்னிடம்	PR_PRP	B-NP	eVnY,PN,itam-LOC,,,,	o
கேட்டுக்	V_VM_VNF_VBN	B-VGF	kelY,V,,,,,VBP	o
கொண்டதால்	V_VM_VNF_COND	I-VGF	koVlY,V,PAST,,,,COND	o
முதல்வரானேன்	V_VM_VF	I-VGF	muwalvarAnYenY,unk,,,,,,	o
.	RD_PUNC	I-VGF	&dot;,punc,,,,,,	{/MCL}

அதன்பின்னர்	PR_PRP	B-NP	awanY,PN,pinYnYar-ADV,,,,	{COM}
,	RD_PUNC	I-NP	&comma;,punc,,,,,	o
சசிகலா	N_NNP	B-NP	cacikalA,N,,,,f,	o
தான்	PSP	B-BLK	wAnY,PSP,,,,,	o
கட்சியின்	N_NN	B-NP	katci,N,inY-GEN,,,,	o
பொதுச்	N_NN	I-NP	poVwu,N,,,,,	o
செயலாளராக	RB	B-VGF	ceVyalAlYar,N,Aka-ADV,,,,	o
வேண்டும்	V_VM_VF	I-VGF	veNtum,V,,,,,	o
என்று	CC_CCS	B-CCP	eVnYrYu,UT,,,,,	{/COM}
எங்களை	PR_PRP	B-NP	eVfkalY,PN,E-ACC,,,,	{MCL}
நிர்பந்தித்தார்	V_VM_VF	B-VGF	nirpanwi,V,PAST,sg,3,c,	o
.	RD_PUNC	I-VGF	&dot;,punc,,,,,,	{/MCL}

கட்சிக்குள்	N_NN	B-NP	katci,N,kku-DAT,,,,	{MCL}
குழப்பம்	N_NN	B-NP	kulYYappam,N,,,,,	o
ஏற்பட்டுவிடக்	V_VM_VNF_INF	B-VGNF	erYpatu,V,,,,,INF	o
கூடாது	RP_NEG	B-NEGP	kUtu,V,,,,,NEG	o
என்பதாலேயே	CC_CCS	B-CCP	eVnYpawAleye,unk,,,,,,	o
அவரை	PR_PRP	B-NP	avar,PN,E-ACC,,,mf,	o
முன்நிறுத்தினோம்	V_VM_VF	B-VGF	munYnirYuwwu,V,PAST,pl,1,f,	o
.	RD_PUNC	I-VGF	&dot;,punc,,,,,,	{/MCL}

பொதுச்செயலர்	N_NN	B-NP	poVwucceVyalar,N,,,,,	{COM}
ஆனதும்	V_VM_VNF_RP_PRP	B-VGNF	Aku,V,PAST,,,,RP-PRP	o
,	RD_PUNC	I-VGNF	&comma;,punc,,,,,	o
தானே	PR_PRF	B-NP	wAnY,PN,,,,,	o
